File Name,Peak [CNN],Prediction Value,Peak [Worker],Matching
small ng samp 9_(-1.31579_-1.31579).csv,0,0.0043609137646853,0,o
small ng samp 9_(-1.31579_-11.8421).csv,0,0.0218032971024513,0,o
small ng samp 9_(-1.31579_-14.4737).csv,1,0.949170470237732,1,o
small ng samp 9_(-1.31579_-17.1053).csv,0,0.0174406133592128,0,o
small ng samp 9_(-1.31579_-19.7368).csv,0,0.0092024197801947,0,o
small ng samp 9_(-1.31579_-22.3684).csv,1,0.9653061628341676,1,o
small ng samp 9_(-1.31579_-25.0).csv,1,0.5548458695411682,1,o
small ng samp 9_(-1.31579_-3.94737).csv,1,0.5119305849075317,1,o
small ng samp 9_(-1.31579_-6.57895).csv,1,0.6441997289657593,1,o
small ng samp 9_(-1.31579_-9.21053).csv,0,0.016367319971323,0,o
small ng samp 9_(-1.31579_1.31579).csv,0,0.2525829970836639,1,x
small ng samp 9_(-1.31579_11.8421).csv,0,0.0597858987748622,0,o
small ng samp 9_(-1.31579_14.4737).csv,0,0.3199288547039032,0,o
small ng samp 9_(-1.31579_17.1053).csv,1,0.9406952857971193,1,o
small ng samp 9_(-1.31579_19.7368).csv,1,0.5194006562232971,0,x
small ng samp 9_(-1.31579_22.3684).csv,1,0.9698922634124756,1,o
small ng samp 9_(-1.31579_25.0).csv,1,0.8878213167190552,1,o
small ng samp 9_(-1.31579_3.94737).csv,1,0.9553613662719728,1,o
small ng samp 9_(-1.31579_6.57895).csv,1,0.999396562576294,1,o
small ng samp 9_(-1.31579_9.21053).csv,1,0.8828558921813965,1,o
small ng samp 9_(-11.8421_-1.31579).csv,1,0.994010865688324,1,o
small ng samp 9_(-11.8421_-11.8421).csv,0,0.0077960160560905,0,o
small ng samp 9_(-11.8421_-14.4737).csv,0,0.0164248347282409,0,o
small ng samp 9_(-11.8421_-17.1053).csv,0,0.0171007476747035,0,o
small ng samp 9_(-11.8421_-19.7368).csv,0,0.0042385212145745,0,o
small ng samp 9_(-11.8421_-22.3684).csv,0,0.0141246505081653,0,o
small ng samp 9_(-11.8421_-25.0).csv,0,0.0080901281908154,0,o
small ng samp 9_(-11.8421_-3.94737).csv,1,0.5103631019592285,1,o
small ng samp 9_(-11.8421_-6.57895).csv,0,0.0453125722706317,0,o
small ng samp 9_(-11.8421_-9.21053).csv,0,0.0111198257654905,0,o
small ng samp 9_(-11.8421_1.31579).csv,1,0.7811896204948425,1,o
small ng samp 9_(-11.8421_11.8421).csv,1,0.9607369303703308,1,o
small ng samp 9_(-11.8421_14.4737).csv,1,0.967095673084259,1,o
small ng samp 9_(-11.8421_17.1053).csv,1,0.7639966011047363,1,o
small ng samp 9_(-11.8421_19.7368).csv,0,0.277457058429718,0,o
small ng samp 9_(-11.8421_22.3684).csv,0,0.3387551307678222,1,x
small ng samp 9_(-11.8421_25.0).csv,0,0.0482740886509418,0,o
small ng samp 9_(-11.8421_3.94737).csv,1,0.969074547290802,1,o
small ng samp 9_(-11.8421_6.57895).csv,0,0.4891920685768127,1,x
small ng samp 9_(-11.8421_9.21053).csv,1,0.961268663406372,1,o
small ng samp 9_(-14.4737_-1.31579).csv,1,0.9978912472724916,1,o
small ng samp 9_(-14.4737_-11.8421).csv,0,0.0083461077883839,0,o
small ng samp 9_(-14.4737_-14.4737).csv,0,0.0341500900685787,0,o
small ng samp 9_(-14.4737_-17.1053).csv,0,0.0083188498392701,0,o
